E(eV),dos(E),pdos(E)
-8.996000000000000441e+00,5.069999999999999908e-05,5.059999999999999665e-05
-8.986000000000000654e+00,6.339999999999999607e-05,6.339999999999999607e-05
-8.976000000000000867e+00,7.920000000000000065e-05,7.909999999999999822e-05
-8.965999999999999304e+00,9.859999999999999787e-05,9.849999999999999544e-05
-8.955999999999999517e+00,1.230000000000000082e-04,1.219999999999999974e-04
-8.945999999999999730e+00,1.520000000000000084e-04,1.520000000000000084e-04
-8.935999999999999943e+00,1.879999999999999890e-04,1.869999999999999917e-04
-8.926000000000000156e+00,2.310000000000000042e-04,2.310000000000000042e-04
-8.916000000000000369e+00,2.840000000000000185e-04,2.840000000000000185e-04
-8.906000000000000583e+00,3.480000000000000020e-04,3.480000000000000020e-04
-8.896000000000000796e+00,4.260000000000000006e-04,4.249999999999999763e-04
-8.885999999999999233e+00,5.190000000000000386e-04,5.180000000000000143e-04
-8.875999999999999446e+00,6.310000000000000504e-04,6.300000000000000261e-04
-8.865999999999999659e+00,7.659999999999999708e-04,7.649999999999999465e-04
-8.855999999999999872e+00,9.259999999999999568e-04,9.250000000000000409e-04
-8.846000000000000085e+00,1.119999999999999902e-03,1.119999999999999902e-03
-8.836000000000000298e+00,1.340000000000000045e-03,1.340000000000000045e-03
-8.826000000000000512e+00,1.610000000000000103e-03,1.610000000000000103e-03
-8.816000000000000725e+00,1.930000000000000075e-03,1.930000000000000075e-03
-8.805999999999999162e+00,2.309999999999999987e-03,2.309999999999999987e-03
-8.795999999999999375e+00,2.749999999999999840e-03,2.749999999999999840e-03
-8.785999999999999588e+00,3.269999999999999903e-03,3.259999999999999877e-03
-8.775999999999999801e+00,3.870000000000000176e-03,3.860000000000000150e-03
-8.766000000000000014e+00,4.570000000000000277e-03,4.570000000000000277e-03
-8.756000000000000227e+00,5.389999999999999826e-03,5.380000000000000233e-03
-8.746000000000000441e+00,6.329999999999999689e-03,6.329999999999999689e-03
-8.736000000000000654e+00,7.429999999999999973e-03,7.420000000000000380e-03
-8.726000000000000867e+00,8.689999999999999808e-03,8.680000000000000215e-03
-8.715999999999999304e+00,1.009999999999999960e-02,1.009999999999999960e-02
-8.705999999999999517e+00,1.179999999999999973e-02,1.179999999999999973e-02
-8.695999999999999730e+00,1.370000000000000037e-02,1.370000000000000037e-02
-8.685999999999999943e+00,1.580000000000000154e-02,1.580000000000000154e-02
-8.676000000000000156e+00,1.830000000000000029e-02,1.830000000000000029e-02
-8.666000000000000369e+00,2.110000000000000070e-02,2.100000000000000130e-02
-8.656000000000000583e+00,2.419999999999999929e-02,2.419999999999999929e-02
