E(eV),dos(E),pdos(E)
-6.645499999999999829e+01,5.119999999999999768e-04,5.119999999999999768e-04
-6.644499999999999318e+01,6.369999999999999794e-04,6.369999999999999794e-04
-6.643500000000000227e+01,7.910000000000000364e-04,7.910000000000000364e-04
-6.642499999999999716e+01,9.799999999999999684e-04,9.799999999999999684e-04
-6.641500000000000625e+01,1.209999999999999921e-03,1.209999999999999921e-03
-6.640500000000000114e+01,1.490000000000000005e-03,1.490000000000000005e-03
-6.639499999999999602e+01,1.830000000000000029e-03,1.830000000000000029e-03
-6.638500000000000512e+01,2.239999999999999804e-03,2.239999999999999804e-03
-6.637500000000000000e+01,2.739999999999999814e-03,2.739999999999999814e-03
-6.636499999999999488e+01,3.340000000000000087e-03,3.340000000000000087e-03
-6.635500000000000398e+01,4.049999999999999781e-03,4.049999999999999781e-03
-6.634499999999999886e+01,4.910000000000000302e-03,4.910000000000000302e-03
-6.633499999999999375e+01,5.939999999999999968e-03,5.939999999999999968e-03
-6.632500000000000284e+01,7.159999999999999698e-03,7.159999999999999698e-03
-6.631499999999999773e+01,8.600000000000000006e-03,8.600000000000000006e-03
-6.630500000000000682e+01,1.030000000000000013e-02,1.030000000000000013e-02
-6.629500000000000171e+01,1.230000000000000017e-02,1.230000000000000017e-02
-6.628499999999999659e+01,1.469999999999999953e-02,1.469999999999999953e-02
-6.627500000000000568e+01,1.750000000000000167e-02,1.750000000000000167e-02
-6.626500000000000057e+01,2.069999999999999965e-02,2.069999999999999965e-02
-6.625499999999999545e+01,2.450000000000000094e-02,2.450000000000000094e-02
-6.624500000000000455e+01,2.889999999999999861e-02,2.889999999999999861e-02
-6.623499999999999943e+01,3.400000000000000244e-02,3.400000000000000244e-02
-6.622499999999999432e+01,3.989999999999999797e-02,3.989999999999999797e-02
-6.621500000000000341e+01,4.669999999999999846e-02,4.669999999999999846e-02
-6.620499999999999829e+01,5.449999999999999983e-02,5.449999999999999983e-02
-6.619499999999999318e+01,6.339999999999999802e-02,6.339999999999999802e-02
-6.618500000000000227e+01,7.359999999999999876e-02,7.359999999999999876e-02
-6.617499999999999716e+01,8.519999999999999796e-02,8.519999999999999796e-02
