E(eV),dos(E),pdos(E)
-8.907000000000000028e+00,5.170000000000000306e-05,5.160000000000000063e-05
-8.897000000000000242e+00,6.480000000000000300e-05,6.459999999999999814e-05
-8.887000000000000455e+00,8.090000000000000132e-05,8.069999999999999645e-05
-8.877000000000000668e+00,1.010000000000000020e-04,1.010000000000000020e-04
-8.867000000000000881e+00,1.250000000000000026e-04,1.250000000000000026e-04
-8.856999999999999318e+00,1.550000000000000000e-04,1.550000000000000000e-04
-8.846999999999999531e+00,1.910000000000000077e-04,1.910000000000000077e-04
-8.836999999999999744e+00,2.359999999999999902e-04,2.349999999999999930e-04
-8.826999999999999957e+00,2.900000000000000017e-04,2.889999999999999774e-04
-8.817000000000000171e+00,3.550000000000000096e-04,3.550000000000000096e-04
-8.807000000000000384e+00,4.350000000000000026e-04,4.339999999999999782e-04
-8.797000000000000597e+00,5.299999999999999807e-04,5.289999999999999564e-04
-8.787000000000000810e+00,6.440000000000000412e-04,6.430000000000000169e-04
-8.776999999999999247e+00,7.820000000000000345e-04,7.799999999999999859e-04
-8.766999999999999460e+00,9.460000000000000093e-04,9.439999999999999607e-04
-8.756999999999999673e+00,1.139999999999999954e-03,1.139999999999999954e-03
-8.746999999999999886e+00,1.369999999999999907e-03,1.369999999999999907e-03
-8.737000000000000099e+00,1.649999999999999991e-03,1.649999999999999991e-03
-8.727000000000000313e+00,1.969999999999999963e-03,1.969999999999999963e-03
-8.717000000000000526e+00,2.360000000000000119e-03,2.350000000000000092e-03
-8.707000000000000739e+00,2.809999999999999998e-03,2.799999999999999972e-03
-8.696999999999999176e+00,3.330000000000000061e-03,3.330000000000000061e-03
-8.686999999999999389e+00,3.950000000000000386e-03,3.939999999999999926e-03
-8.676999999999999602e+00,4.669999999999999672e-03,4.660000000000000080e-03
-8.666999999999999815e+00,5.499999999999999681e-03,5.490000000000000088e-03
-8.657000000000000028e+00,6.470000000000000057e-03,6.459999999999999597e-03
-8.647000000000000242e+00,7.590000000000000392e-03,7.570000000000000340e-03
-8.637000000000000455e+00,8.869999999999999413e-03,8.859999999999999820e-03
-8.627000000000000668e+00,1.030000000000000013e-02,1.030000000000000013e-02
-8.617000000000000881e+00,1.200000000000000025e-02,1.200000000000000025e-02
-8.606999999999999318e+00,1.400000000000000029e-02,1.389999999999999916e-02
-8.596999999999999531e+00,1.619999999999999912e-02,1.609999999999999973e-02
-8.586999999999999744e+00,1.870000000000000134e-02,1.859999999999999848e-02
-8.576999999999999957e+00,2.149999999999999828e-02,2.149999999999999828e-02
-8.567000000000000171e+00,2.469999999999999973e-02,2.469999999999999973e-02
-8.557000000000000384e+00,2.829999999999999877e-02,2.819999999999999937e-02
-8.547000000000000597e+00,3.230000000000000232e-02,3.230000000000000232e-02
-8.537000000000000810e+00,3.690000000000000224e-02,3.679999999999999938e-02
-8.526999999999999247e+00,4.189999999999999974e-02,4.179999999999999688e-02
-8.516999999999999460e+00,4.750000000000000056e-02,4.739999999999999769e-02
-8.506999999999999673e+00,5.380000000000000060e-02,5.369999999999999774e-02
-8.496999999999999886e+00,6.069999999999999701e-02,6.049999999999999822e-02
-8.487000000000000099e+00,6.829999999999999960e-02,6.809999999999999387e-02
-8.477000000000000313e+00,7.660000000000000142e-02,7.649999999999999856e-02
-8.467000000000000526e+00,8.580000000000000127e-02,8.569999999999999840e-02
-8.457000000000000739e+00,9.589999999999999913e-02,9.569999999999999341e-02
-8.446999999999999176e+00,1.069999999999999979e-01,1.069999999999999979e-01
-8.436999999999999389e+00,1.189999999999999947e-01,1.179999999999999938e-01
-8.426999999999999602e+00,1.320000000000000062e-01,1.310000000000000053e-01
-8.416999999999999815e+00,1.459999999999999909e-01,1.449999999999999900e-01
-8.407000000000000028e+00,1.610000000000000042e-01,1.600000000000000033e-01
-8.397000000000000242e+00,1.769999999999999907e-01,1.759999999999999898e-01
-8.387000000000000455e+00,1.940000000000000058e-01,1.930000000000000049e-01
-8.377000000000000668e+00,2.119999999999999940e-01,2.119999999999999940e-01
-8.367000000000000881e+00,2.320000000000000118e-01,2.310000000000000109e-01
-8.356999999999999318e+00,2.530000000000000027e-01,2.520000000000000018e-01
-8.346999999999999531e+00,2.750000000000000222e-01,2.740000000000000213e-01
-8.336999999999999744e+00,2.979999999999999871e-01,2.969999999999999862e-01
-8.326999999999999957e+00,3.220000000000000084e-01,3.210000000000000075e-01
-8.317000000000000171e+00,3.479999999999999760e-01,3.469999999999999751e-01
-8.307000000000000384e+00,3.739999999999999991e-01,3.729999999999999982e-01
-8.297000000000000597e+00,4.020000000000000240e-01,4.010000000000000231e-01
-8.287000000000000810e+00,4.309999999999999942e-01,4.299999999999999933e-01
-8.276999999999999247e+00,4.600000000000000200e-01,4.590000000000000191e-01
-8.266999999999999460e+00,4.909999999999999920e-01,4.899999999999999911e-01
-8.256999999999999673e+00,5.220000000000000195e-01,5.210000000000000187e-01
-8.246999999999999886e+00,5.540000000000000480e-01,5.530000000000000471e-01
-8.237000000000000099e+00,5.869999999999999662e-01,5.859999999999999654e-01
-8.227000000000000313e+00,6.199999999999999956e-01,6.189999999999999947e-01
-8.217000000000000526e+00,6.540000000000000258e-01,6.520000000000000240e-01
-8.207000000000000739e+00,6.879999999999999449e-01,6.860000000000000542e-01
-8.196999999999999176e+00,7.219999999999999751e-01,7.199999999999999734e-01
-8.186999999999999389e+00,7.560000000000000053e-01,7.540000000000000036e-01
-8.176999999999999602e+00,7.900000000000000355e-01,7.880000000000000338e-01
-8.166999999999999815e+00,8.229999999999999538e-01,8.219999999999999529e-01
-8.157000000000000028e+00,8.559999999999999831e-01,8.549999999999999822e-01
-8.147000000000000242e+00,8.890000000000000124e-01,8.870000000000000107e-01
-8.137000000000000455e+00,9.210000000000000409e-01,9.190000000000000391e-01
-8.127000000000000668e+00,9.519999999999999574e-01,9.509999999999999565e-01
-8.117000000000000881e+00,9.829999999999999849e-01,9.809999999999999831e-01
-8.106999999999999318e+00,1.010000000000000009e+00,1.010000000000000009e+00
-8.096999999999999531e+00,1.040000000000000036e+00,1.040000000000000036e+00
-8.086999999999999744e+00,1.070000000000000062e+00,1.060000000000000053e+00
-8.076999999999999957e+00,1.090000000000000080e+00,1.090000000000000080e+00
-8.067000000000000171e+00,1.120000000000000107e+00,1.110000000000000098e+00
-8.057000000000000384e+00,1.139999999999999902e+00,1.139999999999999902e+00
-8.047000000000000597e+00,1.159999999999999920e+00,1.159999999999999920e+00
-8.037000000000000810e+00,1.179999999999999938e+00,1.169999999999999929e+00
-8.026999999999999247e+00,1.189999999999999947e+00,1.189999999999999947e+00
-8.016999999999999460e+00,1.209999999999999964e+00,1.209999999999999964e+00
-8.006999999999999673e+00,1.219999999999999973e+00,1.219999999999999973e+00
-7.996999999999999886e+00,1.229999999999999982e+00,1.229999999999999982e+00
-7.987000000000000099e+00,1.239999999999999991e+00,1.239999999999999991e+00
-7.977000000000000313e+00,1.250000000000000000e+00,1.250000000000000000e+00
-7.966999999999999638e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.956999999999999851e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.947000000000000064e+00,1.270000000000000018e+00,1.260000000000000009e+00
-7.937000000000000277e+00,1.270000000000000018e+00,1.270000000000000018e+00
-7.926999999999999602e+00,1.270000000000000018e+00,1.270000000000000018e+00
-7.916999999999999815e+00,1.270000000000000018e+00,1.270000000000000018e+00
-7.907000000000000028e+00,1.270000000000000018e+00,1.260000000000000009e+00
-7.897000000000000242e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.886999999999999567e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.876999999999999780e+00,1.250000000000000000e+00,1.250000000000000000e+00
-7.866999999999999993e+00,1.250000000000000000e+00,1.250000000000000000e+00
-7.857000000000000206e+00,1.239999999999999991e+00,1.239999999999999991e+00
-7.847000000000000419e+00,1.229999999999999982e+00,1.229999999999999982e+00
-7.836999999999999744e+00,1.229999999999999982e+00,1.229999999999999982e+00
-7.826999999999999957e+00,1.219999999999999973e+00,1.219999999999999973e+00
-7.817000000000000171e+00,1.209999999999999964e+00,1.209999999999999964e+00
-7.807000000000000384e+00,1.209999999999999964e+00,1.199999999999999956e+00
-7.796999999999999709e+00,1.199999999999999956e+00,1.199999999999999956e+00
-7.786999999999999922e+00,1.189999999999999947e+00,1.189999999999999947e+00
-7.777000000000000135e+00,1.189999999999999947e+00,1.179999999999999938e+00
-7.767000000000000348e+00,1.179999999999999938e+00,1.179999999999999938e+00
-7.756999999999999673e+00,1.169999999999999929e+00,1.169999999999999929e+00
-7.746999999999999886e+00,1.169999999999999929e+00,1.169999999999999929e+00
-7.737000000000000099e+00,1.169999999999999929e+00,1.169999999999999929e+00
-7.727000000000000313e+00,1.169999999999999929e+00,1.159999999999999920e+00
-7.716999999999999638e+00,1.159999999999999920e+00,1.159999999999999920e+00
-7.706999999999999851e+00,1.159999999999999920e+00,1.159999999999999920e+00
-7.697000000000000064e+00,1.169999999999999929e+00,1.159999999999999920e+00
-7.687000000000000277e+00,1.169999999999999929e+00,1.169999999999999929e+00
-7.676999999999999602e+00,1.169999999999999929e+00,1.169999999999999929e+00
-7.666999999999999815e+00,1.179999999999999938e+00,1.179999999999999938e+00
-7.657000000000000028e+00,1.189999999999999947e+00,1.189999999999999947e+00
-7.647000000000000242e+00,1.199999999999999956e+00,1.199999999999999956e+00
-7.636999999999999567e+00,1.209999999999999964e+00,1.209999999999999964e+00
-7.626999999999999780e+00,1.229999999999999982e+00,1.219999999999999973e+00
-7.616999999999999993e+00,1.239999999999999991e+00,1.239999999999999991e+00
-7.607000000000000206e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.597000000000000419e+00,1.280000000000000027e+00,1.280000000000000027e+00
-7.586999999999999744e+00,1.300000000000000044e+00,1.300000000000000044e+00
-7.576999999999999957e+00,1.330000000000000071e+00,1.320000000000000062e+00
-7.567000000000000171e+00,1.350000000000000089e+00,1.350000000000000089e+00
-7.557000000000000384e+00,1.379999999999999893e+00,1.379999999999999893e+00
-7.546999999999999709e+00,1.409999999999999920e+00,1.409999999999999920e+00
-7.536999999999999922e+00,1.449999999999999956e+00,1.439999999999999947e+00
-7.527000000000000135e+00,1.479999999999999982e+00,1.479999999999999982e+00
-7.517000000000000348e+00,1.520000000000000018e+00,1.520000000000000018e+00
-7.506999999999999673e+00,1.560000000000000053e+00,1.560000000000000053e+00
-7.496999999999999886e+00,1.600000000000000089e+00,1.600000000000000089e+00
-7.487000000000000099e+00,1.639999999999999902e+00,1.639999999999999902e+00
-7.477000000000000313e+00,1.689999999999999947e+00,1.689999999999999947e+00
-7.466999999999999638e+00,1.739999999999999991e+00,1.729999999999999982e+00
-7.456999999999999851e+00,1.790000000000000036e+00,1.780000000000000027e+00
-7.447000000000000064e+00,1.840000000000000080e+00,1.830000000000000071e+00
-7.437000000000000277e+00,1.889999999999999902e+00,1.889999999999999902e+00
-7.426999999999999602e+00,1.949999999999999956e+00,1.939999999999999947e+00
-7.416999999999999815e+00,2.000000000000000000e+00,2.000000000000000000e+00
-7.407000000000000028e+00,2.060000000000000053e+00,2.049999999999999822e+00
-7.397000000000000242e+00,2.120000000000000107e+00,2.109999999999999876e+00
-7.386999999999999567e+00,2.180000000000000160e+00,2.169999999999999929e+00
-7.376999999999999780e+00,2.240000000000000213e+00,2.229999999999999982e+00
-7.366999999999999993e+00,2.299999999999999822e+00,2.290000000000000036e+00
-7.357000000000000206e+00,2.359999999999999876e+00,2.350000000000000089e+00
-7.347000000000000419e+00,2.419999999999999929e+00,2.419999999999999929e+00
-7.336999999999999744e+00,2.479999999999999982e+00,2.479999999999999982e+00
-7.326999999999999957e+00,2.540000000000000036e+00,2.540000000000000036e+00
-7.317000000000000171e+00,2.609999999999999876e+00,2.600000000000000089e+00
-7.307000000000000384e+00,2.669999999999999929e+00,2.660000000000000142e+00
-7.296999999999999709e+00,2.729999999999999982e+00,2.720000000000000195e+00
-7.286999999999999922e+00,2.790000000000000036e+00,2.779999999999999805e+00
-7.277000000000000135e+00,2.850000000000000089e+00,2.839999999999999858e+00
-7.267000000000000348e+00,2.899999999999999911e+00,2.899999999999999911e+00
-7.256999999999999673e+00,2.959999999999999964e+00,2.950000000000000178e+00
-7.246999999999999886e+00,3.020000000000000018e+00,3.009999999999999787e+00
-7.237000000000000099e+00,3.069999999999999840e+00,3.060000000000000053e+00
-7.227000000000000313e+00,3.120000000000000107e+00,3.109999999999999876e+00
-7.216999999999999638e+00,3.169999999999999929e+00,3.160000000000000142e+00
-7.206999999999999851e+00,3.220000000000000195e+00,3.209999999999999964e+00
-7.197000000000000064e+00,3.270000000000000018e+00,3.259999999999999787e+00
-7.187000000000000277e+00,3.310000000000000053e+00,3.299999999999999822e+00
-7.176999999999999602e+00,3.350000000000000089e+00,3.339999999999999858e+00
-7.166999999999999815e+00,3.390000000000000124e+00,3.379999999999999893e+00
-7.157000000000000028e+00,3.430000000000000160e+00,3.419999999999999929e+00
-7.147000000000000242e+00,3.459999999999999964e+00,3.459999999999999964e+00
-7.136999999999999567e+00,3.500000000000000000e+00,3.490000000000000213e+00
-7.126999999999999780e+00,3.529999999999999805e+00,3.520000000000000018e+00
-7.116999999999999993e+00,3.549999999999999822e+00,3.549999999999999822e+00
-7.107000000000000206e+00,3.580000000000000071e+00,3.569999999999999840e+00
-7.097000000000000419e+00,3.600000000000000089e+00,3.589999999999999858e+00
-7.086999999999999744e+00,3.620000000000000107e+00,3.620000000000000107e+00
-7.076999999999999957e+00,3.640000000000000124e+00,3.629999999999999893e+00
-7.067000000000000171e+00,3.660000000000000142e+00,3.649999999999999911e+00
-7.057000000000000384e+00,3.669999999999999929e+00,3.660000000000000142e+00
-7.046999999999999709e+00,3.689999999999999947e+00,3.680000000000000160e+00
-7.036999999999999922e+00,3.700000000000000178e+00,3.689999999999999947e+00
-7.027000000000000135e+00,3.700000000000000178e+00,3.700000000000000178e+00
-7.017000000000000348e+00,3.709999999999999964e+00,3.700000000000000178e+00
-7.006999999999999673e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.996999999999999886e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.987000000000000099e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.977000000000000313e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.966999999999999638e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.956999999999999851e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.947000000000000064e+00,3.720000000000000195e+00,3.709999999999999964e+00
-6.937000000000000277e+00,3.709999999999999964e+00,3.700000000000000178e+00
-6.926999999999999602e+00,3.709999999999999964e+00,3.700000000000000178e+00
-6.916999999999999815e+00,3.700000000000000178e+00,3.689999999999999947e+00
-6.907000000000000028e+00,3.689999999999999947e+00,3.689999999999999947e+00
-6.897000000000000242e+00,3.689999999999999947e+00,3.680000000000000160e+00
